City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,avarua,-21.2078,-159.775,25.03,61,20,8.75,CK,1695765940
238,puerto deseado,-47.7503,-65.8938,13.39,37,86,6.84,AR,1695765940
239,amlagora,22.8333,87.3333,25.58,96,41,2.19,IN,1695765941
240,melekeok village,7.4957,134.6367,27.31,83,100,8.23,PW,1695765941
241,ola,59.5833,151.2833,5.67,66,74,2.33,RU,1695765941
242,faya-largeau,17.9257,19.1043,32.83,11,3,3.89,TD,1695765941
243,puerto san jose,13.9256,-90.8244,29.79,69,30,2.91,GT,1695765941
244,vila franca do campo,37.7167,-25.4333,23.82,99,93,6.23,PT,1695765941
245,lubny,50.0163,32.9969,15.55,68,8,3.26,UA,1695765941
246,thompson,55.7435,-97.8558,22.09,56,75,4.12,CA,1695765942
247,kedrovyy,56.1667,91.8167,5.23,78,100,0.67,RU,1695765942
248,kirensk,57.7853,108.1119,5.51,91,26,1.97,RU,1695765942
249,haiku-pauwela,20.9219,-156.3051,28.01,58,40,10.8,US,1695765942
250,joshua tree,34.1347,-116.3131,35.39,11,0,2.24,US,1695765942
251,pola de lena,43.1609,-5.8288,17.81,78,81,1.91,ES,1695765942
252,saint-joseph,-21.3667,55.6167,19.21,75,11,4.7,RE,1695765942
253,mwingi,-0.9344,38.0601,19.7,73,46,3.36,KE,1695765943
254,mossel bay,-34.1831,22.146,12.96,74,24,1.39,ZA,1695765943
255,tazovsky,67.4667,78.7,1.06,74,57,6.74,RU,1695765943
256,akureyri,65.6835,-18.0878,6.96,81,100,4.63,IS,1695765846
257,lazaro cardenas,17.9583,-102.2,30.79,67,7,2.57,MX,1695765943
258,esmeraldas,-19.7625,-44.3139,32.58,32,99,1.13,BR,1695765943
259,kinango,-4.1372,39.3153,20.81,97,46,1.76,KE,1695765943
260,talnakh,69.4865,88.3972,0.67,99,100,5.24,RU,1695765943
261,fuyu,45.1833,124.8167,15.04,86,59,3.35,CN,1695765943
262,bijapur,16.8333,75.7,23.79,81,95,3.2,IN,1695765944
263,bucerias,20.75,-105.3333,33.32,75,24,4.24,MX,1695765715
264,neuwied,50.4333,7.4667,17.68,89,100,0.9,DE,1695765944
265,pulivendla,14.4167,78.2333,25.81,73,15,5.18,IN,1695765944
266,hatillo,18.4863,-66.8254,31.12,82,3,3.58,PR,1695765944
267,vila velha,-20.3297,-40.2925,24.97,89,40,4.63,BR,1695765944
268,yanam,16.7333,82.2167,25.38,93,96,0.4,IN,1695765944
269,smithers,54.7804,-127.1743,14.18,62,100,3.09,CA,1695765912
270,ain el bya,35.8039,-0.3018,21.27,73,0,5.52,DZ,1695765944
271,buala,-8.145,159.5921,28.19,75,69,5.81,SB,1695765945
272,chimichagua,9.2578,-73.8123,31.98,66,86,1.43,CO,1695765945
273,the pas,53.8251,-101.2541,22.01,60,40,7.72,CA,1695765945
274,nadym,65.5333,72.5167,2.89,86,98,2.17,RU,1695765945
275,kamloops,50.6665,-120.3192,19.86,38,75,6.69,CA,1695765719
276,beira,-19.8436,34.8389,24.05,88,0,5.36,MZ,1695765945
277,pirane,-25.7324,-59.1088,22.15,66,34,8.0,AR,1695765673
278,sainte-marie,-20.8968,55.5496,21.07,69,20,6.17,RE,1695765945
279,ulladulla,-35.35,150.4667,15.92,91,96,0.1,AU,1695765946
280,labrador city,52.9463,-66.9114,15.95,39,20,3.6,CA,1695765946
281,bykovo,55.6361,38.0803,12.93,100,20,1.0,RU,1695765946
282,al ghayzah,16.2079,52.176,25.75,84,64,2.08,YE,1695765946
283,sitka,57.0531,-135.33,13.94,72,100,1.54,US,1695765900
284,nelson bay,-32.7167,152.15,20.0,95,38,2.24,AU,1695765946
285,ouarzazat,30.9189,-6.8934,29.16,21,0,3.09,MA,1695765946
286,ushtobe,45.2514,77.9838,13.65,53,5,2.87,KZ,1695765946
287,chonchi,-42.6128,-73.8092,8.95,87,100,3.24,CL,1695765947
288,grand falls-windsor,48.9332,-55.6649,8.61,83,3,2.71,CA,1695765947
289,klaksvik,62.2266,-6.589,10.51,89,100,3.5,FO,1695765947
290,whitecourt,54.1502,-115.6855,19.58,27,75,6.69,CA,1695765913
291,shixing,24.9482,114.0657,24.06,96,82,1.03,CN,1695765947
292,ribeira brava,32.65,-17.0667,23.73,86,69,0.78,PT,1695765947
293,badiyah,22.45,58.8,23.82,68,100,0.09,OM,1695765948
294,nar'yan-mar,67.6713,53.087,9.23,96,100,4.88,RU,1695765948
295,taoudenni,22.6783,-3.9836,37.75,9,8,3.74,ML,1695765948
296,grand rapids,42.9634,-85.6681,21.76,84,100,4.12,US,1695765411
297,pointe aux piments,-20.0628,57.5131,23.07,68,36,7.99,MU,1695765949
298,salahonda,2.1019,-78.7217,27.23,82,100,5.61,CO,1695765949
299,paceco,37.9787,12.5566,21.43,70,0,7.52,IT,1695765949
300,bagneres-de-bigorre,43.0667,0.15,15.83,88,0,3.09,FR,1695765949
301,kumi,36.1136,128.336,20.82,97,99,0.23,KR,1695765949
302,sabancuy,18.9667,-91.1833,29.72,65,22,4.7,MX,1695765949
303,harper,4.375,-7.7169,25.07,89,16,3.02,LR,1695765950
304,kuanda,56.3161,116.0806,5.72,87,35,1.11,RU,1695765950
305,el calafate,-50.3408,-72.2768,5.84,81,100,3.71,AR,1695765950
306,nyurba,63.2842,118.3319,2.57,79,94,2.16,RU,1695765950
307,villa gesell,-37.2639,-56.973,8.87,82,100,0.99,AR,1695765950
308,san vicente,-26.6167,-54.1333,29.85,38,61,2.96,AR,1695765951
309,champerico,14.3,-91.9167,32.3,68,6,3.34,GT,1695765951
310,san fernando de apure,7.8878,-67.4724,28.64,82,74,1.67,VE,1695765813
311,beypazari,40.1675,31.9211,20.52,35,4,2.29,TR,1695765951
312,lensk,60.7253,114.9278,4.97,76,78,1.23,RU,1695765951
313,borzya,50.3833,116.5167,8.16,87,100,6.09,RU,1695765952
314,st. john's,47.5649,-52.7093,9.98,84,100,8.05,CA,1695765935
315,bukoba,-1.3317,31.8122,20.23,83,22,3.53,TZ,1695765953
316,alo,7.4178,6.7371,25.67,86,54,0.81,NG,1695765954
317,valparaiso,-33.0393,-71.6273,16.67,63,20,9.77,CL,1695765935
318,frederico westphalen,-27.3592,-53.3944,26.36,70,84,4.73,BR,1695765666
319,howard springs,-12.497,131.047,23.79,73,60,1.89,AU,1695765954
320,tadine,-21.55,167.8833,21.22,53,58,5.65,NC,1695765954
321,kisangani,0.5167,25.2,22.23,85,70,1.23,CD,1695765954
322,atherton,53.5237,-2.4935,14.6,81,92,0.89,GB,1695765954
323,simpang,-1.2667,104.0833,23.14,87,74,1.8,ID,1695765955
324,akrehamn,59.2667,5.1833,15.23,88,75,11.83,NO,1695765955
325,mancio lima,-7.6142,-72.8958,34.04,52,40,2.57,BR,1695765955
326,east end,34.5507,-92.341,34.52,44,0,2.09,US,1695765955
327,ormara,25.2088,64.6357,26.43,70,25,2.68,PK,1695765955
328,hadibu,12.65,54.0333,26.38,85,51,3.51,YE,1695765956
329,murzuq,25.9155,13.9184,25.98,22,0,4.28,LY,1695765956
330,roma,43.2128,-75.4557,18.23,64,0,1.54,US,1695765790
331,lerwick,60.1545,-1.1494,12.0,87,67,5.31,GB,1695765956
332,ilhabela,-23.7781,-45.3581,22.93,96,87,2.79,BR,1695765703
333,hithadhoo,-0.6,73.0833,27.62,78,12,6.91,MV,1695765956
334,tamanrasset,22.785,5.5228,27.95,11,0,5.14,DZ,1695765956
335,chibougamau,49.9168,-74.3659,15.79,48,0,2.06,CA,1695765735
336,shetpe,44.1667,52.1167,18.07,32,0,2.67,KZ,1695765956
337,mitchell,43.7094,-98.0298,19.3,56,92,3.62,US,1695765691
338,gualaceo,-2.9,-78.7833,24.81,78,52,2.77,EC,1695765957
339,behshahr,36.6923,53.5526,20.97,86,89,2.66,IR,1695765957
340,vilyuchinsk,52.9306,158.4028,8.15,71,11,3.96,RU,1695765957
341,richards bay,-28.783,32.0377,19.2,59,0,8.13,ZA,1695765957
342,taulaga,-11.0553,-171.0883,27.67,80,74,9.67,AS,1695765957
343,khed,17.7167,73.3833,23.91,97,100,0.7,IN,1695765957
344,siwa oasis,29.2041,25.5195,28.68,31,0,5.1,EG,1695765957
345,veraval,20.9,70.3667,26.45,80,100,3.87,IN,1695765958
346,santa maria do para,-1.3503,-47.5756,27.35,69,51,4.55,BR,1695765958
347,munuf,30.4658,30.9316,23.21,69,8,2.39,EG,1695765958
348,ebon,4.582,168.6964,28.98,76,95,5.63,MH,1695765958
349,maceio,-9.6658,-35.7353,24.69,88,0,2.57,BR,1695765730
350,usogorsk,63.4106,48.6872,10.89,91,99,4.44,RU,1695765958
351,mariental,-24.6333,17.9667,13.55,34,0,4.99,NA,1695765958
352,nemuro,43.3236,145.575,16.61,89,93,0.2,JP,1695765958
353,fort st. john,56.2499,-120.8529,15.94,55,40,2.06,CA,1695765741
354,zabaykal'sk,49.6333,117.3167,4.78,85,65,2.06,RU,1695765959
355,san angelo,31.4638,-100.437,33.36,37,0,1.79,US,1695765959
356,rabo de peixe,37.8,-25.5833,23.32,99,75,7.72,PT,1695765959
357,hinton,53.4001,-117.5857,17.14,34,28,3.27,CA,1695765959
358,date,42.4681,140.8681,18.41,85,100,1.12,JP,1695765959
359,rovnoye,50.7765,46.0509,15.39,74,30,3.0,RU,1695765959
360,weno,7.4515,151.8468,29.97,79,75,3.09,FM,1695765959
361,hoemul-li,41.4339,129.67,16.69,80,0,1.14,KP,1695765960
362,bubaque,11.2833,-15.8333,28.12,78,53,4.15,GW,1695765960
